BE No,BE Date,Job No,HAWB/HBL No,AWB/BL No.,Type Of B/E,No Of Pkgs,Unit,Invoice Number,
2424862,02-Jun-2025,IR/50284/25-26,,93276127321,Home,5,PKG,00129401,
2434045,03-Jun-2025,IR/50285/25-26,250305810129,RTM1503498,Ex-Bond,71,PLT,"100023208, 100023209",
2434991,03-Jun-2025,IR/50286/25-26,DUS12024600,17677643823,Ex-Bond,1,PKG,32398046,
2440751,03-Jun-2025,IR/50287/25-26,OH25020009,MEDUOJ432857,Ex-Bond,19,PKG,"167980985, 167980986, 167980987, 167980988, 167980989, 167980990, 167980991, 167980992, 167980993",
2593812,11-Jun-2025,IR/50288/25-26,S2501070975,039FX38047,Home,6,PLT,"15274791-2, 15272907-2",
2967464,30-Jun-2025,IR/50289/25-26,20251069A,COAU7260340240,Home,1,PLT,"15269731-1, 15271963-1, 15271441-1",
2462361,04-Jun-2025,IR/50290/25-26,LNBOM5113404,02003470062,Home,6,PKG,"1005869295, 1005877005",
2585577,11-Jun-2025,IR/50291/25-26,,12000425008,Home,6,PKG,20032510-1,
2513276,06-Jun-2025,IR/50292/25-26,83304513,MUSJKTNSA01806,Home,13,PKG,CID/2025/0241/47,
2731388,18-Jun-2025,IR/50293/25-26,,HOEGID16BRMU0101,Home,15,UNT,"1220041180, 1220041297, 1220041291, 1220041272, 1220041269, 1220041261, 1220041250, 1220041237, 1220041231, 1220041335 ...+5 more",
2478177,05-Jun-2025,IR/50294/25-26,G017941,15701114470,Home,2,PKG,5314364779,
2459796,04-Jun-2025,IR/50295/25-26,F941825,09876918925,Home,1,PKG,"395791017, 395791018",
2474991,05-Jun-2025,IR/50296/25-26,,72476354250,Home,1,PKG,937747333,
2463460,04-Jun-2025,IR/50297/25-26,S2501116801,02024554121,Home,9,PKG,"99-00876405, 99-00876647, 99-00876900",
2463445,04-Jun-2025,IR/50298/25-26,FRA27776761,17604331902,Home,36,PKG,"99-00877059, 99-00877061",
2463322,04-Jun-2025,IR/50299/25-26,FRA27776631,17604331821,Home,72,PKG,99-00876641,
2463701,04-Jun-2025,IR/50300/25-26,FRA27776611,17604331854,Home,78,PKG,99-00876644,
2463807,04-Jun-2025,IR/50301/25-26,FRA27776610,17604331832,Home,85,PKG,99-00876642,
2539647,09-Jun-2025,IR/50302/25-26,F924666,17609019695,SEZ-T,5,PKG,6873247,
2509367,06-Jun-2025,IR/50303/25-26,S2501116312,15703883471,Home,600,PKG,99-00876666,
2463941,04-Jun-2025,IR/50304/25-26,S2501116315,15708419611,Home,2,PKG,99-00876638,
2510786,06-Jun-2025,IR/50305/25-26,S2501116317,15703883412,Home,600,PKG,99-00876668,
2562303,10-Jun-2025,IR/50306/25-26,F945339,17609019695,SEZ-T,2,PKG,6874243,
2509593,06-Jun-2025,IR/50307/25-26,S2501116314,15708419611,Home,549,PKG,99-00876665,
2479163,05-Jun-2025,IR/50308/25-26,TWW00206666,15707585712,Home,1,PKG,9010146886,
2478054,05-Jun-2025,IR/50309/25-26,,21705028004,Home,7,PKG,"3416506MHTH371, 3416684MHTH372, 3416684MHTH411",
2562590,10-Jun-2025,IR/50310/25-26,F945296,17609019695,SEZ-T,4,PKG,6930597,
2509029,06-Jun-2025,IR/50311/25-26,TWW00206667,15707585712,Home,1,PKG,9010146885,
2477736,05-Jun-2025,IR/50312/25-26,,21705028015,Home,3,PKG,3416504TSTH293,
2558725,09-Jun-2025,IR/50313/25-26,BKKS2500280,THD1363352,In-Bond,"1,492",CTN,"15274980-1, 15275221-1",
2577501,10-Jun-2025,IR/50314/25-26,,HHSJ04831680,Home,12,PKG,AC79-00253,
2511012,06-Jun-2025,IR/50315/25-26,,31013229952,Home,4,PKG,NS25050278,
2506577,06-Jun-2025,IR/50316/25-26,HAJ00020362,23530534836,Home,7,PKG,5314364927,
2512941,06-Jun-2025,IR/50317/25-26,,BSL0082007,Home,10,PLT,5314324111,
2538990,09-Jun-2025,IR/50318/25-26,F995760,17609019754,SEZ-T,2,PKG,6936906,
2538991,09-Jun-2025,IR/50319/25-26,F995772,17609019754,SEZ-T,3,PKG,6936907,
2539645,09-Jun-2025,IR/50320/25-26,4840714577,15703743036,SEZ-T,1,PKG,250516961,
2481258,05-Jun-2025,IR/50321/25-26,FRA27776685,09876918166,Home,59,PKG,"99-00876648, 99-00876901",
2481262,05-Jun-2025,IR/50322/25-26,S2501116313,15703883401,Home,406,PKG,99-00876667,
2508601,06-Jun-2025,IR/50323/25-26,S2501116316,15703883423,Home,350,PKG,99-00876669,
2539668,09-Jun-2025,IR/50324/25-26,4840714639,15703743036,SEZ-T,2,PKG,250517172,
2481259,05-Jun-2025,IR/50325/25-26,,61842559591,Home,1,PKG,Shp-0021222,
2506344,06-Jun-2025,IR/50326/25-26,SA250506643,16097545486,Home,1,PKG,XS2504220002,
2588876,11-Jun-2025,IR/50327/25-26,,BKK1231322,Home,16,PLT,LED0125050095,
2595754,11-Jun-2025,IR/50328/25-26,,"BKK1232474, BKK1232475",Home,73,PLT,"LED0125050096, LED25050003",
2507756,06-Jun-2025,IR/50329/25-26,HAJ00020367,23530534840,Home,3,PKG,5314366045,
2583601,11-Jun-2025,IR/50330/25-26,,EELPKLNSA043819,Ex-Bond,872,CAS,2025/MIBV/000019,
2504763,06-Jun-2025,IR/50331/25-26,SIN20048853,17610522330,Home,2,PKG,"620276935, 620276934, 620276932, 620276933, 128458-21435446, 128824-21435448, 128877-21435450, 128716-21435451, 129045-21435453, 128968-21435457 ...+2 more",
2598028,11-Jun-2025,IR/50332/25-26,,ONEYPKGF22654900,Home,"2,836",PKG,"871689232, 871689233, 871689234",
2558265,09-Jun-2025,IR/50333/25-26,,EGLV130500026342,Home,614,CTN,"15271728-1, 15273618-1, 15273621-1",
2576155,10-Jun-2025,IR/50334/25-26,,FRA1047688,Home,20,PKG,99-00871052,
2510348,06-Jun-2025,IR/50335/25-26,FRA27776696,17604331913,Home,31,PKG,"99-00876893, 99-00877062, 99-00877099, 99-00877171",
2510285,06-Jun-2025,IR/50336/25-26,FRA27776698,17604331891,Home,29,PKG,99-00876896,
2510173,06-Jun-2025,IR/50337/25-26,FRA27776697,17604331880,Home,6,PKG,99-00876895,
2509854,06-Jun-2025,IR/50338/25-26,FRA27776695,17604331622,Home,21,PKG,99-00876894,
2510452,06-Jun-2025,IR/50339/25-26,G038317,22917249142,Home,11,PKG,"395794954, 395794959, 395794960, 395794962, 395794963",
2511766,06-Jun-2025,IR/50340/25-26,80039398,29768947885,Home,9,PKG,4890067194,
2577372,10-Jun-2025,IR/50341/25-26,,A18FA00990,Home,"1,055",PKG,"871677155, 871677156, 871677157",
2871509,25-Jun-2025,IR/50342/25-26,DEBER2183571,HDMUHAMA61250700,Home,33,PKG,65393933,
2590565,11-Jun-2025,IR/50343/25-26,42J0348914,02022612575,Home,2,PKG,250604258,
2588151,11-Jun-2025,IR/50344/25-26,42J0348913,02022612575,Home,1,PKG,250604254,
2511820,06-Jun-2025,IR/50345/25-26,,EGLV130500025974,Home,261,CTN,"15269024-2, 15269482-3, 15270381-2, 15273423-1, 15274871-1, 15272963-1",
2558493,09-Jun-2025,IR/50346/25-26,,S2501081560,Home,363,CTN,"15272788-1, 15273528-1, 15273532-1, 15270633-2, 15274285-1",
2571919,10-Jun-2025,IR/50347/25-26,FRA27776608,72479744243,Home,84,PKG,99-00876643,
2561169,10-Jun-2025,IR/50348/25-26,4840714373,60738467133,SEZ-T,3,PKG,250516549,
2561167,10-Jun-2025,IR/50349/25-26,4840714374,60738467133,SEZ-T,1,PKG,250516545,
2561065,10-Jun-2025,IR/50350/25-26,4840714372,60738467133,SEZ-T,2,PKG,250516547,
2571588,10-Jun-2025,IR/50351/25-26,SA250600052,61843988501,Home,1,PKG,INV-GPPL-021,
2653130,14-Jun-2025,IR/50352/25-26,,DEBER2175941,Home,31,PKG,"5314317152, 65384738",
2571606,10-Jun-2025,IR/50353/25-26,SA250600053,61843988512,Home,1,PKG,INV-GPPL-022,
2608038,12-Jun-2025,IR/50354/25-26,G006091,21704813782,SEZ-Z,3,PKG,6882613,
2608034,12-Jun-2025,IR/50355/25-26,"G006106, G006106","21704813782, 21704813782",SEZ-Z,4,PKG,6875310,
2573788,10-Jun-2025,IR/50356/25-26,G006092,21704813782,SEZ-Z,1,PKG,6873200,
2573938,10-Jun-2025,IR/50357/25-26,G006082,17609020255,SEZ-Z,3,PKG,6874245,
2592141,11-Jun-2025,IR/50358/25-26,412656374,15792691944,SEZ-Z,1,PKG,MTT-158265,
2592326,11-Jun-2025,IR/50359/25-26,412656372,15792691944,SEZ-Z,1,PKG,MTT-158266,
2573758,10-Jun-2025,IR/50360/25-26,4840715154,60738474494,SEZ-Z,2,PKG,250518111,
2555076,09-Jun-2025,IR/50361/25-26,X6358769335,17616999065,Home,6,PKG,"0620289385, 0620272860, 128377-21438418, 128716-21438431, 129091-21438449, 129218-21438805",
2573505,10-Jun-2025,IR/50362/25-26,G006128,21704813782,SEZ-Z,4,PKG,6875309,
2577084,10-Jun-2025,IR/50363/25-26,S2501034267,OOLU8898901270,In-Bond,"1,011",CTN,"15271328-1, 15273297-1",
2579484,11-Jun-2025,IR/50364/25-26,AAI0034481,91018003952,SEZ-T,4,PKG,6874247,
2570082,10-Jun-2025,IR/50365/25-26,OMA91000320,02016769266,Home,2,PKG,"0620272374, 0620297225",
2880074,26-Jun-2025,IR/50366/25-26,SIL20006391,ONEYRICFG4903600,Home,1,CRT,1612103,
2576023,10-Jun-2025,IR/50367/25-26,GXPEW25050543,HASLC01250503239,Home,10,PLT,ADSNI202514,
2577008,10-Jun-2025,IR/50368/25-26,S2501103471,ONEYPKGF33216500,In-Bond,"1,023",CTN,"15272944-1, 15273304-1, 15273305-1, 15273314-1, 15271343-2",
2576020,10-Jun-2025,IR/50369/25-26,GXPEW25050610,HASLC01250503239,Home,5,PLT,ADSNI202513,
2574588,10-Jun-2025,IR/50370/25-26,G041223,16093775371,Home,6,PKG,2960104168,
2880082,26-Jun-2025,IR/50371/25-26,250505810350,COSU6416213200,In-Bond,13,PLT,100023468,
2577179,10-Jun-2025,IR/50372/25-26,S2501035484,HLCUHAM2504ASOO3,Home,1,PLT,15271094-1,
2593805,11-Jun-2025,IR/50373/25-26,S2501064470,EGLV140557206843,In-Bond,"1,500",CTN,15273653-1,
2602325,12-Jun-2025,IR/50374/25-26,,21705028284,Home,7,PKG,"3415827TSTH436, 3416504TSTH437",
2593949,11-Jun-2025,IR/50375/25-26,KULA2501166,60370113691,Home,3,PLT,IV2505-0157,
2580825,11-Jun-2025,IR/50376/25-26,,250305810524,Ex-Bond,47,PLT,100023326,
2650217,14-Jun-2025,IR/50377/25-26,G059444,16093775382,Home,7,PKG,2960104169,
2793396,21-Jun-2025,IR/50378/25-26,,"BKK1231323, BKK1233291",Home,43,PLT,"LED0125050141, LED25050005",
2598161,11-Jun-2025,IR/50379/25-26,HITNSA250500080,ONEYBKKFB2462500,Home,5,CRT,AK-2505-009,
2587113,11-Jun-2025,IR/50380/25-26,SIN20048866,61842804963,Home,1,PKG,"128968-21440346, 129218-21440357, 129235-21440360",
2629329,13-Jun-2025,IR/50381/25-26,G028670,17609020454,SEZ-Z,4,PKG,6936863,
2629028,13-Jun-2025,IR/50382/25-26,G028871,17609020454,SEZ-Z,8,PKG,"6934721, 6934722",
2697609,17-Jun-2025,IR/50383/25-26,,FRA1045085,Home,20,PKG,99-00870867,
2594545,11-Jun-2025,IR/50384/25-26,FRA27776892,17604331946,Home,89,PKG,"99-00877496, 99-00877760, 99-00877784",
2594498,11-Jun-2025,IR/50385/25-26,FRA27776895,17604331961,Home,45,PKG,99-00877498,
2697617,17-Jun-2025,IR/50386/25-26,,FRA1045084,Home,20,PKG,99-00870866,
2594764,11-Jun-2025,IR/50387/25-26,FRA27776896,17604331972,Home,34,PKG,99-00877762,
2595190,11-Jun-2025,IR/50388/25-26,FRA27776890,17604331935,Home,28,PKG,99-00877761,
2595287,11-Jun-2025,IR/50389/25-26,FRA27776632,17604331611,Home,174,PKG,99-00876639,
2697622,17-Jun-2025,IR/50390/25-26,,FRA1045089,Home,20,PKG,99-00870869,
2629722,13-Jun-2025,IR/50391/25-26,4840715855,60738474623,SEZ-Z,1,PKG,250608005,
2650216,14-Jun-2025,IR/50392/25-26,9413082025FI,23509977682,Home,1,PKG,4503248,
2671183,16-Jun-2025,IR/50393/25-26,4840715154,60738474494,SEZ-T,2,PKG,250518111,
2699040,17-Jun-2025,IR/50394/25-26,G006128,21704813782,SEZ-T,4,PKG,6875309,
2629678,13-Jun-2025,IR/50395/25-26,AMS25111401,02034330612,Home,6,PKG,TR0002831808,
2614682,12-Jun-2025,IR/50396/25-26,G067469,50118035861,Home,8,PKG,"395797771, 395797773",
2698367,17-Jun-2025,IR/50397/25-26,G006092,21704813782,SEZ-T,1,PKG,6873200,
2675074,16-Jun-2025,IR/50398/25-26,G028966,61869044894,SEZ-Z,2,PKG,6934725,
2697871,17-Jun-2025,IR/50399/25-26,G006082,17609020255,SEZ-T,3,PKG,6874245,
2696982,17-Jun-2025,IR/50400/25-26,412656374,15792691944,SEZ-T,1,PKG,MTT-158265,
2653054,14-Jun-2025,IR/50401/25-26,MAD23517867,50118512410,Home,1,PKG,386176988,
2675889,16-Jun-2025,IR/50402/25-26,G029041,61869044894,SEZ-Z,3,PKG,6936912,
2696983,17-Jun-2025,IR/50403/25-26,412656372,15792691944,SEZ-T,1,PKG,MTT-158266,
2616670,12-Jun-2025,IR/50404/25-26,G079621,02032841056,Home,6,PKG,5314372177,
2614551,12-Jun-2025,IR/50405/25-26,G067361,09876921434,Home,3,PKG,"395797794, 395797795, 395797793",
2633883,13-Jun-2025,IR/50406/25-26,AMS250295366,09877218234,In-Bond,2,PKG,100023608,
2615892,12-Jun-2025,IR/50407/25-26,FRA27776998,02031727710,Home,94,PKG,99-00878091,
2615896,12-Jun-2025,IR/50408/25-26,FRA27776933,72478793326,Home,63,PKG,99-00877502,
2615905,12-Jun-2025,IR/50409/25-26,S2501131917,02024554132,Home,12,PKG,"99-00877284, 99-00877501, 99-00877764",
2631109,13-Jun-2025,IR/50410/25-26,S2501096733,045FX08149,Home,3,PLT,"15265381-1, 15275472-1, 15272210-2",
2630118,13-Jun-2025,IR/50412/25-26,S2501131916,15708419622,Home,3,PKG,"99-00877494, 99-00877932",
2685127,16-Jun-2025,IR/50413/25-26,2025106945,GEN1857199,Home,1,CAS,1001313,
2639621,13-Jun-2025,IR/50414/25-26,G066810,02032841056,Home,2,PKG,395798251,
2651529,14-Jun-2025,IR/50415/25-26,,DEBER2179851,Home,18,PKG,5314331647,
2651779,14-Jun-2025,IR/50416/25-26,,250405810436,In-Bond,40,PLT,100023410,
2640300,13-Jun-2025,IR/50417/25-26,G088145,22917248906,Home,5,PKG,"395800727, 395800731",
2639693,13-Jun-2025,IR/50418/25-26,FRA27776888,17604331633,Home,249,PKG,"99-00877495, 99-00877763",
2639684,13-Jun-2025,IR/50419/25-26,FRA27777024,17604332005,Home,1,PKG,99-00878014,
2639682,13-Jun-2025,IR/50420/25-26,FRA27777022,17604331644,Home,10,PKG,99-00878001,
2639676,13-Jun-2025,IR/50421/25-26,FRA27777023,17604331994,Home,3,PKG,99-00878104,
2674998,16-Jun-2025,IR/50422/25-26,42J0348964,02019989970,Home,1,PKG,250609450,
2685509,16-Jun-2025,IR/50423/25-26,BKKS2500208,GOSUBKK80391874,Home,836,CTN,"15272969-3, 15273244-1",
2653973,14-Jun-2025,IR/50424/25-26,FRA27777135,17604332016,Home,1,PKG,99-00878315,
2653467,14-Jun-2025,IR/50425/25-26,S2501084476,YMJAS237007600,Home,1,PLT,15272833-1,
2653902,14-Jun-2025,IR/50426/25-26,SEAE250437749H,ONEYRICFP6229900,Home,1,PKG,P-ID-127618,
2654503,14-Jun-2025,IR/50427/25-26,,S2501092389,Home,586,CTN,15273376-1,
2656121,14-Jun-2025,IR/50428/25-26,BLSFFE250629,THD1356300,Home,48,PLT,VI(OSB)-2025/040,
2656129,14-Jun-2025,IR/50429/25-26,NBAE25050129,OOLU2158593960,Home,790,PKG,0225-231,
2654691,14-Jun-2025,IR/50430/25-26,HAJ00020419,23530534840,Home,8,PKG,"5314372167, 65406471",
2730747,18-Jun-2025,IR/50431/25-26,,HOEGID16BRMU0102,Home,12,UNT,"1003859576, 1003859133, 1003858698, 1003858173, 1003858095, 1003853880, 1003863418, 1003860062, 1003860032, 1003859828 ...+2 more",
2731784,18-Jun-2025,IR/50432/25-26,,HOEGID16SOMU2101,Home,2,UNT,"1230387410, 1230387313",
2995857,01-Jul-2025,IR/50433/25-26,,HOEGQ861XVMU0001,Home,7,UNT,"1003960140, 1003960139, 1003960135, 1003960129, 1003960128, 1003960127, 1003960126",
2995865,01-Jul-2025,IR/50434/25-26,,HOEG3I73XVMU0001,Home,14,UNT,"1003822635, 1003822634, 1003822632, 1003822615, 1003822616, 1003822613, 1003822612, 1003822609, 1003822608, 1003822607 ...+4 more",
2685417,16-Jun-2025,IR/50435/25-26,BKKS2500260,GOSUBKK80394294,Home,"1,000",CTN,8349,
2716074,17-Jun-2025,IR/50436/25-26,,S2501082365,Home,864,CTN,"15272705-1, 15272706-1",
2655321,14-Jun-2025,IR/50437/25-26,026676,12519487845,In-Bond,1,PKG,"168130910, 168130911, 168130912, 168130913",
2654960,14-Jun-2025,IR/50438/25-26,FRA27776634,17604331810,Home,252,PKG,99-00876640,
2655368,14-Jun-2025,IR/50439/25-26,FRA27776894,17604331950,Home,77,PKG,99-00877497,
2655374,14-Jun-2025,IR/50440/25-26,S2501132210,15703883574,Home,107,PKG,99-00877933,
2714767,17-Jun-2025,IR/50441/25-26,12000525010,MEDURM370926,Home,3,PKG,2401440001,
2685775,16-Jun-2025,IR/50442/25-26,X6358769350,17616999150,Home,6,PKG,"0620242233, 129218-21443411, 129310-21443428, 128680-21443707, 128968-21443793, 129310-21443813",
2761127,19-Jun-2025,IR/50443/25-26,S2501076704,HASLC01250424013,Home,7,PLT,"15271851-1, 15271901-1, 15273011-1",
2715732,17-Jun-2025,IR/50444/25-26,AAI0034598,91018134955,SEZ-Z,2,PKG,6933654,
2719580,18-Jun-2025,IR/50445/25-26,AAI0034599,91018134955,SEZ-Z,4,PKG,6933663,
2718865,18-Jun-2025,IR/50446/25-26,AAI0034601,91018134966,SEZ-Z,4,PKG,6933653,
2715770,17-Jun-2025,IR/50447/25-26,AAI0034600,91018134966,SEZ-Z,2,PKG,6933608,
2741317,19-Jun-2025,IR/50448/25-26,,SGSIN0000186782,Home,9,PLT,"620286862, 620286863",
2741319,19-Jun-2025,IR/50449/25-26,SGSIN0000186934,KMTCSIN3232624,Home,12,PLT,"620301200, 620302801, 620302802, 620302803",
2714281,17-Jun-2025,IR/50450/25-26,42J0349007,02019995813,Home,2,PKG,250611123,
2920793,27-Jun-2025,IR/50451/25-26,,ONEYPKGF28415300,Home,"5,537",PKG,"871724428, 871725117, 871731471, 871731472, 871731473",
2746540,19-Jun-2025,IR/50452/25-26,4840716614,60738474715,SEZ-Z,2,PKG,250605738,
2687707,16-Jun-2025,IR/50453/25-26,,KMTCLCH5201982,Home,10,CRT,AK-2505-011,
2830047,23-Jun-2025,IR/50454/25-26,DEMHG0000073310,HLCUHAM250481876,Home,4,PLT,5314334417,
3039494,03-Jul-2025,IR/50455/25-26,,ONEYTYOFA1983600,Home,51,CAS,RAD005229502,
2801390,21-Jun-2025,IR/50456/25-26,,S2501099369,Home,"3,100",CTN,15272694-1,
3532870,28-Jul-2025,IR/50457/25-26,G028670,17609020454,SEZ-T,4,PKG,6936863,
2880077,26-Jun-2025,IR/50458/25-26,FRA1047638,ONEYHAMF28664700,Home,4,PKG,99-00870870,
2713472,17-Jun-2025,IR/50459/25-26,SHAAEB27238,17612290983,Home,1,PKG,0000375761,
2713200,17-Jun-2025,IR/50460/25-26,SHAAEB27237,17612290983,Home,2,PKG,0000375757,
2724840,18-Jun-2025,IR/50461/25-26,,EELPKLNSA043612,Ex-Bond,"1,150",CAS,2025/MIBV/000012,
2711361,17-Jun-2025,IR/50462/25-26,SOTA00431914,NOMAWB,Home,2,PKG,4503432,
2871521,25-Jun-2025,IR/50463/25-26,NSA000038553,SCJUA3434570AA,Home,3,PLT,1005847188,
2741179,19-Jun-2025,IR/50464/25-26,G006091,21704813782,SEZ-T,3,PKG,6882613,
2741180,19-Jun-2025,IR/50465/25-26,G006106,21704813782,SEZ-T,4,PKG,6875310,
2815705,23-Jun-2025,IR/50466/25-26,G028871,17609020454,SEZ-T,8,PKG,"6934721, 6934722",
2800340,21-Jun-2025,IR/50467/25-26,GXPEW25051449,HASLC01250513338,Home,27,PLT,ADSNI202515,
2772581,20-Jun-2025,IR/50468/25-26,G074103,17610885324,SEZ-Z,7,PKG,"6934723, 6934724",
2799703,21-Jun-2025,IR/50469/25-26,GXPEW25051447,HASLC01250513338,Home,24,PLT,ADSNI202516,
2720122,18-Jun-2025,IR/50470/25-26,4840715855,60738474623,SEZ-T,1,PKG,250608005,
2917116,27-Jun-2025,IR/50471/25-26,,BKKS2500295,In-Bond,"2,088",CTN,15276901-1,
2800088,21-Jun-2025,IR/50472/25-26,GXPEW25051437,HASLC01250513338,Home,35,PLT,ADSNI202517,
2744909,19-Jun-2025,IR/50473/25-26,G120908,23509958410,Home,4,PKG,5314377628,
2844494,24-Jun-2025,IR/50474/25-26,G152112,16093773853,Home,6,PKG,2960107643,
2720097,18-Jun-2025,IR/50475/25-26,FRA27777134,17604332020,Home,171,PKG,99-00878114,
3259414,14-Jul-2025,IR/50476/25-26,,S327346258,Home,111,UNT,"1338028567, 1338028568, 1338028569, 1338028570, 1338028571, 1338028572, 1338028573",
3202283,11-Jul-2025,IR/50477/25-26,,S327555876,Home,1,UNT,20419397,
3215541,12-Jul-2025,IR/50478/25-26,,S327556204,Home,9,UNT,20416108,
3239794,14-Jul-2025,IR/50479/25-26,,S327556444,Home,197,UNT,93995396,
3201327,11-Jul-2025,IR/50480/25-26,,S327556497,Home,65,UNT,93995395,
3216938,12-Jul-2025,IR/50481/25-26,,S327556555,Home,9,UNT,"110072, 110073, 110074, 110075, 110076, 110078, 110548, 110595, 110889",
2915372,27-Jun-2025,IR/50482/25-26,KLLMJP1150392,ONEYTYOF68227900,Home,3,PLT,JI-570305,
2756457,19-Jun-2025,IR/50483/25-26,G066809,50118035975,Home,11,PKG,"395803461, 395803496",
2734117,18-Jun-2025,IR/50484/25-26,FLR58820620,23509238176,Home,1,PKG,4503500,
2746539,19-Jun-2025,IR/50485/25-26,G074042,17610885335,SEZ-Z,1,PKG,6941263,
2815704,23-Jun-2025,IR/50486/25-26,G028966,61869044894,SEZ-T,2,PKG,6934725,
2815703,23-Jun-2025,IR/50487/25-26,G029041,61869044894,SEZ-T,3,PKG,6936912,
3000460,02-Jul-2025,IR/50488/25-26,AAI0034598,91018134955,SEZ-T,2,PKG,6933654,
2732401,18-Jun-2025,IR/50489/25-26,FRA27777237,17604332053,Home,41,PKG,"99-00878321, 99-00878646",
2733576,18-Jun-2025,IR/50490/25-26,FRA27777239,17604332031,Home,53,PKG,99-00878598,
2733664,18-Jun-2025,IR/50491/25-26,FRA27777238,17604331655,Home,78,PKG,"99-00878323, 99-00878647, 99-00878678, 99-00878897",
2755761,19-Jun-2025,IR/50492/25-26,MMX00001606,23550906041,Home,1,PKG,60511,
2955466,30-Jun-2025,IR/50493/25-26,AAI0034600,91018134966,SEZ-T,2,PKG,6933608,
2734178,18-Jun-2025,IR/50494/25-26,PIL18287,09877296881,Home,1,PKG,1525008575,
2734176,18-Jun-2025,IR/50495/25-26,PIL18286,09877296870,Home,1,PKG,SI-0036014,
2773765,20-Jun-2025,IR/50496/25-26,42J0349045,02019996524,Home,1,PKG,250605817,
2773760,20-Jun-2025,IR/50497/25-26,42J0349047,02019996524,Home,1,PKG,250605868,
2880088,26-Jun-2025,IR/50498/25-26,SIL20004167,ONEYRICFG4903600,Home,1,CRT,24164,
2735222,18-Jun-2025,IR/50499/25-26,S2501144214,02024554143,Home,10,PKG,"99-00878324, 99-00878779",
2844732,24-Jun-2025,IR/50500/25-26,,512836101WAW,Home,35,PKG,1005806928,
2844727,24-Jun-2025,IR/50501/25-26,,511999364WAW,Home,43,PKG,1005844558,
2752957,19-Jun-2025,IR/50502/25-26,S2501142326,15708419633,Home,21,PKG,99-00878322,
2752956,19-Jun-2025,IR/50503/25-26,S2501142325,15708419633,Home,4,PKG,99-00878403,
2752965,19-Jun-2025,IR/50504/25-26,FRA27777228,17604351535,Home,75,PKG,99-00878325,
2792595,21-Jun-2025,IR/50505/25-26,G056803,21705440584,SEZ-Z,1,PKG,6940565,
2792400,21-Jun-2025,IR/50506/25-26,G056744,21705440584,SEZ-Z,9,PKG,"6940688, 6940819",
2790335,21-Jun-2025,IR/50507/25-26,MAD23517959,50118512421,Home,1,PKG,386180940,
2772701,20-Jun-2025,IR/50508/25-26,S2501044023,MEDUVX537669,Ex-Bond,950,CTN,15273592-1,
2772704,20-Jun-2025,IR/50509/25-26,S2501064470,EGLV140557206843,Ex-Bond,"1,500",CTN,15273653-1,
2756109,19-Jun-2025,IR/50510/25-26,SIN20048876,17607981853,Home,2,PKG,"620346941, 129091-21445131, 129310-21445147, 129364-21445158",
2880072,26-Jun-2025,IR/50511/25-26,,FRA1047603,Home,18,PKG,99-00870871,
2776839,20-Jun-2025,IR/50512/25-26,AMS250295366,09877218234,Ex-Bond,2,PKG,100023608,
3459370,24-Jul-2025,IR/50513/25-26,LAXTS11575,93258724035,Home,2,PKG,TR0002830865,
2784629,20-Jun-2025,IR/50514/25-26,BKKS2500280,THD1363352,Ex-Bond,108,CTN,15274980-1,
2781198,20-Jun-2025,IR/50515/25-26,G131670,15707626920,Home,8,PKG,"395806329, 395806330, 395806333",
3039535,03-Jul-2025,IR/50516/25-26,,ONEYTYOF99712500,Home,79,CAS,RAD005264601,
2846680,24-Jun-2025,IR/50517/25-26,G144400,16093776465,Home,1,PKG,2960108439,
2955464,30-Jun-2025,IR/50518/25-26,AAI0034599,91018134955,SEZ-T,4,PKG,6933663,
2881871,26-Jun-2025,IR/50519/25-26,AAI0034601,91018134966,SEZ-T,4,PKG,6933653,
2798760,21-Jun-2025,IR/50520/25-26,517068014CHI,17606215086,Home,7,PKG,24412,
2820588,23-Jun-2025,IR/50521/25-26,G074042,17610885335,SEZ-T,1,PKG,6941263,
2838081,24-Jun-2025,IR/50522/25-26,4840716614,60738474715,SEZ-T,2,PKG,250605738,
3385568,21-Jul-2025,IR/50523/25-26,G074103,17610885324,SEZ-T,7,PKG,"6934723, 6934724",
2861037,25-Jun-2025,IR/50524/25-26,LAXTS11607,61845328625,Home,4,PKG,TR0002845406,
2980695,01-Jul-2025,IR/50526/25-26,,BKK1234877,Home,18,PLT,LED0125060035,
2931350,28-Jun-2025,IR/50527/25-26,,BKK1235297,Home,1,PLT,LED0125060037,
2916679,27-Jun-2025,IR/50528/25-26,,BKKS2500304,In-Bond,912,CTN,15276902-1,
3006484,02-Jul-2025,IR/50529/25-26,,"BKK1235296, BKK1235298",Home,110,PLT,"LED0125060036, LED25060001",
2831021,23-Jun-2025,IR/50530/25-26,X6358769366,12519420074,Home,15,PKG,"0620361598, 0620372190, 0620363341, 128680-21421028, 128968-21447460, 129091-21447466, 129364-21447486, 129218-21448146, 129436-21448157, 129431-21448159 ...+2 more",
2852590,24-Jun-2025,IR/50531/25-26,,YSL2502001,Ex-Bond,440,CTN,2025/MIBV/000004,
2827990,23-Jun-2025,IR/50532/25-26,HAJ00020470,23530534851,Home,8,PKG,"5314377633, 65408463",
3078841,05-Jul-2025,IR/50533/25-26,DEBER2189551,HDMUHAMA02169000,Home,41,PKG,65397951,
